Zip;District;City;State;Region;Country
1115;"District #02";"Springfield, MA";"MA";"East";"USA"
1116;"District #02";"Longmeadow, MA";"MA";"East";"USA"
1118;"District #02";"Springfield, MA";"MA";"East";"USA"
1119;"District #02";"Springfield, MA";"MA";"East";"USA"
1128;"District #02";"Springfield, MA";"MA";"East";"USA"
1129;"District #02";"Springfield, MA";"MA";"East";"USA"
1138;"District #02";"Springfield, MA";"MA";"East";"USA"
1139;"District #02";"Springfield, MA";"MA";"East";"USA"
1144;"District #02";"Springfield, MA";"MA";"East";"USA"
1151;"District #02";"Indian Orchard, MA";"MA";"East";"USA"
1152;"District #02";"Springfield, MA";"MA";"East";"USA"
1199;"District #02";"Springfield, MA";"MA";"East";"USA"
1201;"District #01";"Pittsfield, MA";"MA";"East";"USA"
1202;"District #01";"Pittsfield, MA";"MA";"East";"USA"
1203;"District #01";"Pittsfield, MA";"MA";"East";"USA"
1220;"District #01";"Adams, MA";"MA";"East";"USA"
1222;"District #01";"Ashley Falls, MA";"MA";"East";"USA"
1223;"District #01";"Becket, MA";"MA";"East";"USA"
1224;"District #01";"Berkshire, MA";"MA";"East";"USA"
1225;"District #01";"Cheshire, MA";"MA";"East";"USA"
1226;"District #01";"Dalton, MA";"MA";"East";"USA"
1227;"District #01";"Dalton, MA";"MA";"East";"USA"
1229;"District #01";"Glendale, MA";"MA";"East";"USA"
1230;"District #01";"Great Barrington, MA";"MA";"East";"USA"
1235;"District #01";"Hinsdale, MA";"MA";"East";"USA"
1236;"District #01";"Housatonic, MA";"MA";"East";"USA"
1237;"District #01";"Lanesboro, MA";"MA";"East";"USA"
1238;"District #01";"Lee, MA";"MA";"East";"USA"
1240;"District #01";"Lenox, MA";"MA";"East";"USA"
1242;"District #01";"Lenox Dale, MA";"MA";"East";"USA"
1243;"District #01";"Middlefield, MA";"MA";"East";"USA"
1244;"District #01";"Mill River, MA";"MA";"East";"USA"
1245;"District #01";"Monterey, MA";"MA";"East";"USA"
1247;"District #01";"North Adams, MA";"MA";"East";"USA"
1252;"District #01";"North Egremont, MA";"MA";"East";"USA"
1253;"District #01";"Otis, MA";"MA";"East";"USA"
1254;"District #01";"Richmond, MA";"MA";"East";"USA"
1255;"District #01";"Sandisfield, MA";"MA";"East";"USA"
1256;"District #01";"Savoy, MA";"MA";"East";"USA"
1257;"District #01";"Sheffield, MA";"MA";"East";"USA"
1258;"District #01";"South Egremont, MA";"MA";"East";"USA"
1259;"District #01";"Southfield, MA";"MA";"East";"USA"
1260;"District #01";"South Lee, MA";"MA";"East";"USA"
1262;"District #01";"Stockbridge, MA";"MA";"East";"USA"
1263;"District #01";"Stockbridge, MA";"MA";"East";"USA"
1264;"District #01";"Tyringham, MA";"MA";"East";"USA"
1266;"District #01";"West Stockbridge, MA";"MA";"East";"USA"
1267;"District #01";"Williamstown, MA";"MA";"East";"USA"
1270;"District #01";"Windsor, MA";"MA";"East";"USA"
1301;"District #02";"Greenfield, MA";"MA";"East";"USA"
1302;"District #02";"Greenfield, MA";"MA";"East";"USA"
1330;"District #02";"Ashfield, MA";"MA";"East";"USA"
1331;"District #02";"Athol, MA";"MA";"East";"USA"
1337;"District #02";"Bernardston, MA";"MA";"East";"USA"
1338;"District #02";"Buckland, MA";"MA";"East";"USA"
1339;"District #01";"Charlemont, MA";"MA";"East";"USA"
1340;"District #02";"Colrain, MA";"MA";"East";"USA"
1341;"District #02";"Conway, MA";"MA";"East";"USA"
1342;"District #02";"Deerfield, MA";"MA";"East";"USA"
1343;"District #01";"Drury, MA";"MA";"East";"USA"
1344;"District #02";"Erving, MA";"MA";"East";"USA"
1346;"District #01";"Heath, MA";"MA";"East";"USA"
1347;"District #02";"Lake Pleasant, MA";"MA";"East";"USA"
1349;"District #02";"Millers Falls, MA";"MA";"East";"USA"
1350;"District #01";"Monroe Bridge, MA";"MA";"East";"USA"
1351;"District #02";"Montague, MA";"MA";"East";"USA"
1354;"District #02";"Gill, MA";"MA";"East";"USA"
1355;"District #02";"New Salem, MA";"MA";"East";"USA"
1360;"District #02";"Northfield, MA";"MA";"East";"USA"
1364;"District #02";"Orange, MA";"MA";"East";"USA"
1366;"District #02";"Petersham, MA";"MA";"East";"USA"
1367;"District #01";"Rowe, MA";"MA";"East";"USA"
1368;"District #02";"Royalston, MA";"MA";"East";"USA"
1370;"District #02";"Shelburne Falls, MA";"MA";"East";"USA"
1373;"District #02";"South Deerfield, MA";"MA";"East";"USA"
1375;"District #02";"Sunderland, MA";"MA";"East";"USA"
1376;"District #02";"Turners Falls, MA";"MA";"East";"USA"
1378;"District #02";"Warwick, MA";"MA";"East";"USA"
1379;"District #02";"Wendell, MA";"MA";"East";"USA"
1380;"District #02";"Wendell Depot, MA";"MA";"East";"USA"
1420;"District #02";"Fitchburg, MA";"MA";"East";"USA"
1430;"District #02";"Ashburnham, MA";"MA";"East";"USA"
1431;"District #02";"Ashby, MA";"MA";"East";"USA"
1434;"District #02";"Devens, MA";"MA";"East";"USA"
1436;"District #02";"Baldwinville, MA";"MA";"East";"USA"
1438;"District #02";"East Templeton, MA";"MA";"East";"USA"
1440;"District #02";"Gardner, MA";"MA";"East";"USA"
1441;"District #02";"Westminster, MA";"MA";"East";"USA"
1450;"District #02";"Groton, MA";"MA";"East";"USA"
1451;"District #02";"Harvard, MA";"MA";"East";"USA"
1452;"District #02";"Hubbardston, MA";"MA";"East";"USA"
1453;"District #02";"Leominster, MA";"MA";"East";"USA"
1462;"District #02";"Lunenburg, MA";"MA";"East";"USA"
1464;"District #02";"Shirley, MA";"MA";"East";"USA"
1467;"District #02";"Still River, MA";"MA";"East";"USA"
1468;"District #02";"Templeton, MA";"MA";"East";"USA"
1469;"District #02";"Townsend, MA";"MA";"East";"USA"
1470;"District #02";"Groton, MA";"MA";"East";"USA"
1471;"District #02";"Groton, MA";"MA";"East";"USA"
1472;"District #02";"West Groton, MA";"MA";"East";"USA"
1473;"District #02";"Westminster, MA";"MA";"East";"USA"
